utility,model,regime,size,rep,RelL2,beta_star
smooth,Additive,perturbed,180,16,0.117739,
smooth,Additive+Smooth,perturbed,180,16,0.100553,50.781250
smooth,Convex only,perturbed,180,17,0.132902,
smooth,Additive,perturbed,180,17,0.120951,
smooth,Smooth,perturbed,180,11,0.098127,13.671875
smooth,Additive+Smooth,perturbed,180,17,0.075146,12.695312
smooth,Smooth,perturbed,180,9,0.120270,21.484375
smooth,Convex only,perturbed,180,18,0.123662,
smooth,Additive,perturbed,180,18,0.114214,
smooth,Additive+Smooth,perturbed,180,18,0.093420,35.156250
smooth,Convex only,perturbed,180,19,0.128504,
smooth,Additive,perturbed,180,19,0.117835,
smooth,Smooth,perturbed,180,14,0.090825,11.718750
smooth,Additive+Smooth,perturbed,180,19,0.086187,21.484375
nonsmooth,Convex only,not-perturbed,180,0,0.276496,
nonsmooth,Additive,not-perturbed,180,0,0.765699,
smooth,Smooth,perturbed,180,13,0.099472,13.671875
nonsmooth,Additive+Smooth,not-perturbed,180,0,0.742467,0.976562
nonsmooth,Convex only,not-perturbed,180,1,0.271132,
nonsmooth,Additive,not-perturbed,180,1,0.781655,
smooth,Smooth,perturbed,180,15,0.089702,11.718750
nonsmooth,Additive+Smooth,not-perturbed,180,1,0.746152,0.976562
nonsmooth,Convex only,not-perturbed,180,2,0.272337,
nonsmooth,Additive,not-perturbed,180,2,0.781359,
smooth,Smooth,perturbed,180,12,0.115370,21.484375
nonsmooth,Additive+Smooth,not-perturbed,180,2,0.753526,0.976562
nonsmooth,Convex only,not-perturbed,180,3,0.285968,
nonsmooth,Additive,not-perturbed,180,3,0.768038,
smooth,Smooth,perturbed,180,18,0.088592,11.718750
nonsmooth,Additive+Smooth,not-perturbed,180,3,0.743490,0.976562
nonsmooth,Convex only,not-perturbed,180,4,0.300170,
nonsmooth,Additive,not-perturbed,180,4,0.786380,
