rep,training_size,model,RelL2,beta_star
11,20,Additive+Smooth,0.5358,0.9766
11,40,Additive+Smooth,0.6560,0.9766
11,60,Additive+Smooth,0.7170,110.3516
11,80,Additive+Smooth,0.6696,0.9766
11,100,Additive+Smooth,0.6909,0.9766
11,120,Additive+Smooth,0.6967,0.9766
11,140,Additive+Smooth,0.7187,0.9766
11,160,Additive+Smooth,0.7201,0.9766
11,180,Additive+Smooth,0.7266,0.9766
11,200,Additive+Smooth,0.7302,0.9766
12,20,Additive+Smooth,0.6331,0.9766
12,40,Additive+Smooth,0.6561,0.9766
12,60,Additive+Smooth,0.6680,0.9766
12,80,Additive+Smooth,0.7097,0.9766
12,100,Additive+Smooth,0.7087,0.9766
12,120,Additive+Smooth,0.7100,0.9766
12,140,Additive+Smooth,0.7244,0.9766
12,160,Additive+Smooth,0.7315,0.9766
12,180,Additive+Smooth,0.7456,0.9766
12,200,Additive+Smooth,0.7447,0.9766
13,20,Additive+Smooth,0.6169,1.9531
13,40,Additive+Smooth,0.6063,0.9766
13,60,Additive+Smooth,0.6640,0.9766
13,80,Additive+Smooth,0.7166,0.9766
13,100,Additive+Smooth,0.7165,0.9766
13,120,Additive+Smooth,0.7734,0.9766
13,140,Additive+Smooth,0.7730,0.9766
13,160,Additive+Smooth,0.7698,0.9766
13,180,Additive+Smooth,0.7705,0.9766
13,200,Additive+Smooth,0.7714,0.9766
14,20,Additive+Smooth,0.6513,0.9766
14,40,Additive+Smooth,0.6536,0.9766
14,60,Additive+Smooth,0.6730,0.9766
14,80,Additive+Smooth,0.6874,0.9766
14,100,Additive+Smooth,0.6846,0.9766
14,120,Additive+Smooth,0.7092,0.9766
14,140,Additive+Smooth,0.7277,0.9766
14,160,Additive+Smooth,0.7425,0.9766
14,180,Additive+Smooth,0.7496,0.9766
14,200,Additive+Smooth,0.7497,0.9766
15,20,Additive+Smooth,0.6037,0.9766
15,40,Additive+Smooth,0.6679,3.9062
15,60,Additive+Smooth,0.6466,0.9766
15,80,Additive+Smooth,0.6739,0.9766
15,100,Additive+Smooth,0.6849,0.9766
15,120,Additive+Smooth,0.7180,0.9766
15,140,Additive+Smooth,0.7481,0.9766
15,160,Additive+Smooth,0.7475,0.9766
15,180,Additive+Smooth,0.7558,0.9766
15,200,Additive+Smooth,0.7595,0.9766
16,20,Additive+Smooth,0.6338,0.9766
16,40,Additive+Smooth,0.6156,0.9766
16,60,Additive+Smooth,0.6513,0.9766
16,80,Additive+Smooth,0.6585,0.9766
16,100,Additive+Smooth,0.6672,0.9766
16,120,Additive+Smooth,0.7069,0.9766
16,140,Additive+Smooth,0.7161,0.9766
16,160,Additive+Smooth,0.7536,0.9766
16,180,Additive+Smooth,0.7596,0.9766
16,200,Additive+Smooth,0.7597,0.9766
17,20,Additive+Smooth,0.6837,0.9766
17,40,Additive+Smooth,0.7343,0.9766
17,60,Additive+Smooth,0.7314,0.9766
17,80,Additive+Smooth,0.7321,0.9766
17,100,Additive+Smooth,0.7321,0.9766
17,120,Additive+Smooth,0.7313,0.9766
17,140,Additive+Smooth,0.7352,0.9766
17,160,Additive+Smooth,0.7348,0.9766
17,180,Additive+Smooth,0.7346,0.9766
17,200,Additive+Smooth,0.7389,0.9766
18,20,Additive+Smooth,0.5952,0.9766
18,40,Additive+Smooth,0.6036,1.9531
18,60,Additive+Smooth,0.6402,0.9766
18,80,Additive+Smooth,0.6604,0.9766
18,100,Additive+Smooth,0.6914,0.9766
18,120,Additive+Smooth,0.7184,0.9766
