rep,training_size,model,RelL2,beta_star
9,140,Additive+Smooth,0.0126,9.3750
9,160,Additive+Smooth,0.0032,8.3008
9,180,Additive+Smooth,0.0026,8.3008
9,200,Additive+Smooth,0.0108,9.3750
10,20,Additive+Smooth,0.1390,8.7891
10,40,Additive+Smooth,0.0450,9.3750
10,60,Additive+Smooth,0.0377,9.3750
10,80,Additive+Smooth,0.0321,9.3750
10,100,Additive+Smooth,0.0206,8.2031
10,120,Additive+Smooth,0.0172,9.3750
10,140,Additive+Smooth,0.0199,7.6172
10,160,Additive+Smooth,0.0176,8.2031
10,180,Additive+Smooth,0.0121,7.6172
10,200,Additive+Smooth,0.0091,8.2031
11,20,Additive+Smooth,0.0809,8.7891
11,40,Additive+Smooth,0.0556,9.3750
11,60,Additive+Smooth,0.0417,9.3750
11,80,Additive+Smooth,0.0334,9.3750
11,100,Additive+Smooth,0.0187,9.3750
11,120,Additive+Smooth,0.0178,9.3750
11,140,Additive+Smooth,0.0038,8.3008
11,160,Additive+Smooth,0.0128,8.2031
11,180,Additive+Smooth,0.0027,8.3008
11,200,Additive+Smooth,0.0092,9.3750
12,20,Additive+Smooth,0.0777,8.7891
12,40,Additive+Smooth,0.0496,8.7891
12,60,Additive+Smooth,0.0433,7.6172
12,80,Additive+Smooth,0.0240,8.2031
12,100,Additive+Smooth,0.0278,8.2031
12,120,Additive+Smooth,0.0173,7.6172
12,140,Additive+Smooth,0.0134,8.2031
12,160,Additive+Smooth,0.0118,8.2031
12,180,Additive+Smooth,0.0125,7.6172
12,200,Additive+Smooth,0.0121,7.6172
13,20,Additive+Smooth,0.0780,8.7891
13,40,Additive+Smooth,0.0586,9.3750
13,60,Additive+Smooth,0.0398,9.3750
13,80,Additive+Smooth,0.0311,9.3750
13,100,Additive+Smooth,0.0289,9.3750
13,120,Additive+Smooth,0.0047,7.8125
13,140,Additive+Smooth,0.0044,7.8125
13,160,Additive+Smooth,0.0037,7.8125
13,180,Additive+Smooth,0.0213,8.2031
13,200,Additive+Smooth,0.0198,8.2031
14,20,Additive+Smooth,0.0942,8.7891
14,40,Additive+Smooth,0.0598,9.3750
14,60,Additive+Smooth,0.0491,9.3750
14,80,Additive+Smooth,0.0457,9.3750
14,100,Additive+Smooth,0.0229,8.7891
14,120,Additive+Smooth,0.0140,8.2031
14,140,Additive+Smooth,0.0145,8.2031
14,160,Additive+Smooth,0.0088,7.6172
14,180,Additive+Smooth,0.0133,8.2031
14,200,Additive+Smooth,0.0111,9.3750
15,20,Additive+Smooth,0.0899,8.7891
15,40,Additive+Smooth,0.0489,8.7891
15,60,Additive+Smooth,0.0302,9.3750
15,80,Additive+Smooth,0.0249,9.3750
15,100,Additive+Smooth,0.0236,9.3750
15,120,Additive+Smooth,0.0153,8.7891
15,140,Additive+Smooth,0.0177,7.6172
15,160,Additive+Smooth,0.0134,9.3750
15,180,Additive+Smooth,0.0165,7.6172
15,200,Additive+Smooth,0.0028,8.3008
16,20,Additive+Smooth,0.0991,8.7891
16,40,Additive+Smooth,0.0654,9.3750
16,60,Additive+Smooth,0.0485,9.3750
16,80,Additive+Smooth,0.0462,9.3750
16,100,Additive+Smooth,0.0436,9.3750
16,120,Additive+Smooth,0.0054,7.8125
16,140,Additive+Smooth,0.0269,8.2031
16,160,Additive+Smooth,0.0036,7.8125
16,180,Additive+Smooth,0.0034,7.8125
16,200,Additive+Smooth,,
17,20,Additive+Smooth,0.1118,8.7891
17,40,Additive+Smooth,0.0513,9.3750
17,60,Additive+Smooth,0.0428,9.3750
17,80,Additive+Smooth,0.0323,9.3750
17,100,Additive+Smooth,0.0260,9.3750
17,120,Additive+Smooth,0.0244,9.3750
17,140,Additive+Smooth,0.0220,9.3750
17,160,Additive+Smooth,0.0196,8.7891
17,180,Additive+Smooth,0.0029,8.3008
17,200,Additive+Smooth,0.0091,9.3750
18,20,Additive+Smooth,0.0713,8.7891
18,40,Additive+Smooth,0.0532,9.3750
18,60,Additive+Smooth,0.0422,9.3750
18,80,Additive+Smooth,0.0196,9.3750
18,100,Additive+Smooth,0.0163,8.2031
18,120,Additive+Smooth,0.0139,9.3750
