rep,training_size,model,RelL2,beta_star
12,80,Additive+Smooth,0.7033,0.9766
12,100,Additive+Smooth,0.7039,0.9766
12,120,Additive+Smooth,0.7068,0.9766
12,140,Additive+Smooth,0.7240,0.9766
12,160,Additive+Smooth,0.7309,0.9766
12,180,Additive+Smooth,0.7436,0.9766
12,200,Additive+Smooth,0.7430,0.9766
13,20,Additive+Smooth,0.6383,2.9297
13,40,Additive+Smooth,0.6068,0.9766
13,60,Additive+Smooth,0.6646,0.9766
13,80,Additive+Smooth,0.7177,0.9766
13,100,Additive+Smooth,0.7191,0.9766
13,120,Additive+Smooth,0.7689,0.9766
13,140,Additive+Smooth,0.7680,0.9766
13,160,Additive+Smooth,0.7668,0.9766
13,180,Additive+Smooth,0.7674,0.9766
13,200,Additive+Smooth,0.7684,0.9766
14,20,Additive+Smooth,0.6497,0.9766
14,40,Additive+Smooth,0.6535,0.9766
14,60,Additive+Smooth,0.6787,0.9766
14,80,Additive+Smooth,0.6891,0.9766
14,100,Additive+Smooth,0.6843,0.9766
14,120,Additive+Smooth,0.7039,0.9766
14,140,Additive+Smooth,0.7244,0.9766
14,160,Additive+Smooth,0.7387,0.9766
14,180,Additive+Smooth,0.7429,0.9766
14,200,Additive+Smooth,0.7437,0.9766
15,20,Additive+Smooth,0.6045,0.9766
15,40,Additive+Smooth,0.6631,3.9062
15,60,Additive+Smooth,0.6489,0.9766
15,80,Additive+Smooth,0.6762,0.9766
15,100,Additive+Smooth,0.6844,0.9766
15,120,Additive+Smooth,0.7171,0.9766
15,140,Additive+Smooth,0.7463,0.9766
15,160,Additive+Smooth,0.7447,0.9766
15,180,Additive+Smooth,0.7540,0.9766
15,200,Additive+Smooth,0.7593,0.9766
16,20,Additive+Smooth,0.6323,0.9766
16,40,Additive+Smooth,0.6134,0.9766
16,60,Additive+Smooth,0.6490,0.9766
16,80,Additive+Smooth,0.6603,0.9766
16,100,Additive+Smooth,0.6710,0.9766
16,120,Additive+Smooth,0.7000,0.9766
16,140,Additive+Smooth,0.7096,0.9766
16,160,Additive+Smooth,0.7479,0.9766
16,180,Additive+Smooth,0.7546,0.9766
16,200,Additive+Smooth,0.7547,0.9766
17,20,Additive+Smooth,0.6856,0.9766
17,40,Additive+Smooth,0.7266,0.9766
17,60,Additive+Smooth,0.7266,0.9766
17,80,Additive+Smooth,0.7278,0.9766
17,100,Additive+Smooth,0.7303,0.9766
17,120,Additive+Smooth,0.7283,0.9766
17,140,Additive+Smooth,0.7334,0.9766
17,160,Additive+Smooth,0.7381,1.9531
17,180,Additive+Smooth,0.7369,1.9531
17,200,Additive+Smooth,0.7429,1.9531
18,20,Additive+Smooth,0.5988,0.9766
18,40,Additive+Smooth,0.5998,2.9297
18,60,Additive+Smooth,0.6519,2.9297
18,80,Additive+Smooth,0.6671,1.9531
18,100,Additive+Smooth,0.6950,1.9531
18,120,Additive+Smooth,0.7215,1.9531
18,140,Additive+Smooth,0.7165,0.9766
